termino,impact_score,periodo,interes,score_lag_1,score_lag_2,score_lag_3,score_mean_last_3m,social_diff,social_growth,trends_lag_0,trends_lag_1,trends_lag_2,trends_mean_last_3m,mes_num,sin_mes,cos_mes,cat_accesorio,cat_calzado,cat_color,cat_estilo,cat_material,cat_patron,cat_prenda,TARGET_NEXT_3M_AVG,TARGET_NEXT_6M_AVG,mes
animal print,3.518513939877888,2020-05,1.0,2.146128035678238,0.3,2.146128035678238,1.5307520237854921,1.8461280356782381,6.153760118927461,1.0,1.0,1.0,1.0,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,1.7666666666666666,1.5333333333333332,2020-05
animal print,1.845098040014257,2020-07,1.5,3.518513939877888,2.146128035678238,0.3,1.988213991852042,1.3723859041996498,0.6394706566357939,1.5,1.0,1.0,1.1666666666666667,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,1,0,1.7666666666666666,1.4916666666666665,2020-07
animal print,4.136589637610663,2020-09,2.0,1.845098040014257,3.518513939877888,2.146128035678238,2.5032466718567945,-1.673415899863631,-0.47560303254666314,2.0,1.5,1.0,1.5,9,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,1.5666666666666664,1.4249999999999998,2020-09
animal print,3.9461280356782384,2020-11,1.8,4.136589637610663,1.845098040014257,3.518513939877888,3.1667338725009357,2.291491597596406,1.2419348716985792,1.8,2.0,1.5,1.7666666666666666,11,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,1.3,1.3333333333333333,2020-11
animal print,2.0387640052032223,2020-12,1.5,3.9461280356782384,4.136589637610663,1.845098040014257,3.309271904434386,-0.19046160193242434,-0.04604314631567785,1.5,1.8,2.0,1.7666666666666666,12,-2.4492935982947064e-16,1.0,0,0,0,0,0,1,0,1.2166666666666666,1.3333333333333333,2020-12
animal print,0.3,2021-01,1.4,2.0387640052032223,3.9461280356782384,4.136589637610663,3.373827226164041,-1.9073640304750161,-0.4833507714980133,1.4,1.5,1.8,1.5666666666666667,1,0.49999999999999994,0.8660254037844387,0,0,0,0,0,1,0,1.2833333333333334,1.4000000000000001,2021-01
animal print,2.3010299956639813,2021-02,1.0,0.3,2.0387640052032223,3.9461280356782384,2.0949640136271537,-1.7387640052032223,-0.8528520224830552,1.0,1.4,1.5,1.3,2,0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,1.3666666666666665,1.5249999999999997,2021-02
animal print,3.3802112417116064,2021-04,1.25,2.3010299956639813,0.3,2.0387640052032223,1.5465980002890678,2.0010299956639814,6.670099985546605,1.25,1.0,1.4,1.2166666666666668,4,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,1,0,1.45,1.6499999999999997,2021-04
animal print,4.87978359661681,2021-05,1.6,3.3802112417116064,2.3010299956639813,0.3,1.9937470791251959,1.079181246047625,0.46899920821597907,1.6,1.25,1.0,1.2833333333333332,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,1.5166666666666666,1.7166666666666668,2021-05
animal print,0.3,2021-06,1.25,4.87978359661681,3.3802112417116064,2.3010299956639813,3.5203416113307995,1.4995723549052036,0.4436327340731163,1.25,1.6,1.25,1.3666666666666665,6,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,1.6833333333333333,1.8,2021-06
animal print,3.0149733479708183,2021-07,1.5,0.3,4.87978359661681,3.3802112417116064,2.8533316127761386,-4.57978359661681,-0.9385218639187213,1.5,1.25,1.6,1.45,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,1,0,1.8499999999999999,1.8500000000000003,2021-07
animal print,4.079181246047625,2021-08,1.8,3.0149733479708183,0.3,4.87978359661681,2.731585648195876,2.7149733479708185,9.049911159902727,1.8,1.5,1.25,1.5166666666666668,8,-0.8660254037844385,-0.5000000000000004,0,0,0,0,0,1,0,1.9166666666666667,1.8,2021-08
animal print,10.853240522668289,2021-09,1.75,4.079181246047625,3.0149733479708183,0.3,2.4647181980061474,1.0642078980768068,0.3529742306986081,1.75,1.8,1.5,1.6833333333333336,9,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,1.9166666666666667,1.741666666666667,2021-09
animal print,6.877413634141848,2021-10,2.0,10.853240522668289,4.079181246047625,3.0149733479708183,5.982465038895577,6.7740592766206635,1.6606418955235545,2.0,1.75,1.8,1.8500000000000003,10,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,1.8499999999999999,1.575,2021-10
animal print,5.202059991327962,2021-11,2.0,6.877413634141848,10.853240522668289,4.079181246047625,7.26994513428592,-3.9758268885264405,-0.36632624884912957,2.0,2.0,1.75,1.9166666666666667,11,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,1.6833333333333333,1.4083333333333332,2021-11
animal print,4.301029995663981,2021-12,1.75,5.202059991327962,6.877413634141848,10.853240522668289,7.644238049379367,-1.675353642813886,-0.2436022801503248,1.75,2.0,2.0,1.9166666666666667,12,-2.4492935982947064e-16,1.0,0,0,0,0,0,1,0,1.5666666666666664,1.2833333333333332,2021-12
animal print,0.3,2022-01,1.8,4.301029995663981,5.202059991327962,6.877413634141848,5.4601678737112636,-0.9010299956639809,-0.17320638308017078,1.8,1.75,2.0,1.8499999999999999,1,0.49999999999999994,0.8660254037844387,0,0,0,0,0,1,0,1.3,1.1500000000000001,2022-01
animal print,0.3,2022-02,1.5,0.3,4.301029995663981,5.202059991327962,3.2676966623306476,-4.001029995663981,-0.9302492658032051,1.5,1.8,1.75,1.6833333333333333,2,0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,1.1333333333333333,1.0666666666666667,2022-02
animal print,0.3,2022-05,1.4,0.3,0.3,4.301029995663981,1.633676665221327,0.0,0.0,1.4,1.5,1.8,1.5666666666666667,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,1.0,1.0,2022-05
animal print,2.078151250383644,2022-06,1.0,0.3,0.3,0.3,0.3,0.0,0.0,1.0,1.4,1.5,1.3,6,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,1.0,1.0,2022-06
animal print,2.341392685158225,2022-07,1.0,2.078151250383644,0.3,0.3,0.8927170834612147,1.778151250383644,5.927170834612148,1.0,1.0,1.4,1.1333333333333335,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,1,0,1.0,1.0,2022-07
animal print,10.03663032852213,2022-09,1.0,2.341392685158225,2.078151250383644,0.3,1.57318131184729,0.26324143477458106,0.12667097003934846,1.0,1.0,1.0,1.0,9,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,1.0,1.0,2022-09
animal print,18.89214967279164,2022-10,1.0,10.03663032852213,2.341392685158225,2.078151250383644,4.818724754688,7.695237643363904,3.2866070233083864,1.0,1.0,1.0,1.0,10,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,1.0,1.0,2022-10
animal print,5.408600171761917,2022-11,1.0,18.89214967279164,10.03663032852213,2.341392685158225,10.423390895490664,8.85551934426951,0.8823199674002007,1.0,1.0,1.0,1.0,11,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,1.0,1.0,2022-11
animal print,4.7612359947967775,2022-12,1.0,5.408600171761917,18.89214967279164,10.03663032852213,11.445793391025228,-13.48354950102972,-0.7137117657102119,1.0,1.0,1.0,1.0,12,-2.4492935982947064e-16,1.0,0,0,0,0,0,1,0,1.0,1.0,2022-12
animal print,1.0,2023-02,1.0,4.7612359947967775,5.408600171761917,18.89214967279164,9.687328613116778,-0.6473641769651399,-0.11969163118120696,1.0,1.0,1.0,1.0,2,0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,1.0,1.0,2023-02
animal print,1.845098040014257,2023-03,1.0,1.0,4.7612359947967775,5.408600171761917,3.723278722186232,-3.7612359947967775,-0.789970503227979,1.0,1.0,1.0,1.0,3,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,1.0,1.0,2023-03
animal print,1.7781512503836436,2023-04,1.0,1.845098040014257,1.0,4.7612359947967775,2.535444678270345,0.8450980400142569,0.8450980400142569,1.0,1.0,1.0,1.0,4,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,1,0,1.0,1.0,2023-04
animal print,3.924279286061882,2023-05,1.0,1.7781512503836436,1.845098040014257,1.0,1.5410830967993003,-0.06694678963061329,-0.03628359478941079,1.0,1.0,1.0,1.0,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,1.0,1.0,2023-05
animal print,7.778151250383644,2023-08,1.0,3.924279286061882,1.7781512503836436,1.845098040014257,2.5158428588199278,2.146128035678238,1.2069434673879416,1.0,1.0,1.0,1.0,8,-0.8660254037844385,-0.5000000000000004,0,0,0,0,0,1,0,1.0,1.0,2023-08
animal print,5.470805425989315,2023-09,1.0,7.778151250383644,3.924279286061882,1.7781512503836436,4.49352726227639,3.853871964321762,0.9820585344192523,1.0,1.0,1.0,1.0,9,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,1.0,1.0,2023-09
animal print,13.490501934308062,2023-10,1.0,5.470805425989315,7.778151250383644,3.924279286061882,5.72441198747828,-2.3073458243943286,-0.29664450460262304,1.0,1.0,1.0,1.0,10,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,1.0,1.0,2023-10
animal print,3.1224719895935547,2023-11,1.0,13.490501934308062,5.470805425989315,7.778151250383644,8.913152870227007,8.019696508318747,1.4659078296261105,1.0,1.0,1.0,1.0,11,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,1.0,1.0,2023-11
animal print,3.3508700273979044,2023-12,1.0,3.1224719895935547,13.490501934308062,5.470805425989315,7.361259783296977,-10.368029944714507,-0.768542934518047,1.0,1.0,1.0,1.0,12,-2.4492935982947064e-16,1.0,0,0,0,0,0,1,0,1.0,1.0,2023-12
animal print,7.1931805832035645,2024-09,1.0,3.3508700273979044,3.1224719895935547,13.490501934308062,6.654614650433174,0.22839803780434975,0.07314654496999351,1.0,1.0,1.0,1.0,9,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,1.0,1.0,2024-09
animal print,22.42495668933048,2024-10,1.0,7.1931805832035645,3.3508700273979044,3.1224719895935547,4.555507533398341,3.84231055580566,1.146660576026394,1.0,1.0,1.0,1.0,10,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0,1.0,1.0,2024-10
animal print,4.22938377768521,2024-11,1.0,22.42495668933048,7.1931805832035645,3.3508700273979044,10.989669099977315,15.231776106126915,2.1175300591916004,1.0,1.0,1.0,1.0,11,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,1.0,1.0,2024-11
animal print,10.173933398303523,2024-12,1.0,4.22938377768521,22.42495668933048,7.1931805832035645,11.28250701673975,-18.195572911645268,-0.811398352457131,1.0,1.0,1.0,1.0,12,-2.4492935982947064e-16,1.0,0,0,0,0,0,1,0,1.0,1.0,2024-12
animal print,3.0,2025-01,1.0,10.173933398303523,4.22938377768521,22.42495668933048,12.276091288439737,5.9445496206183135,1.4055356366529201,1.0,1.0,1.0,1.0,1,0.49999999999999994,0.8660254037844387,0,0,0,0,0,1,0,1.0,1.0,2025-01
animal print,10.9,2025-03,1.0,3.0,10.173933398303523,4.22938377768521,5.8011057253295775,-7.173933398303523,-0.7051287950734726,1.0,1.0,1.0,1.0,3,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,1.0,1.125,2025-03
animal print,3.6989700043360183,2025-04,1.0,10.9,3.0,10.173933398303523,8.024644466101174,7.9,2.6333333333333333,1.0,1.0,1.0,1.0,4,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,1,0,1.0,1.2916666666666667,2025-04
animal print,13.077147467613711,2025-05,1.0,3.6989700043360183,10.9,3.0,5.866323334778673,-7.201029995663982,-0.6606449537306405,1.0,1.0,1.0,1.0,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,1.0,1.375,2025-05
animal print,6.556302500767288,2025-06,1.0,13.077147467613711,3.6989700043360183,10.9,9.22537249064991,9.378177463277693,2.535348340831198,1.0,1.0,1.0,1.0,6,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,1.25,1.375,2025-06
animal print,4.903089986991944,2025-07,1.0,6.556302500767288,13.077147467613711,3.6989700043360183,7.777473324239007,-6.520844966846424,-0.4986442940247987,1.0,1.0,1.0,1.0,7,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,1,0,1.5833333333333333,1.6607142857142858,2025-07
animal print,4.204119982655925,2025-08,1.0,4.903089986991944,6.556302500767288,13.077147467613711,8.178846651790982,-1.653212513775344,-0.25215622884726074,1.0,1.0,1.0,1.0,8,-0.8660254037844385,-0.5000000000000004,0,0,0,0,0,1,0,1.75,1.6660906298003073,2025-08
animal print,4.431363764158987,2025-09,1.75,4.204119982655925,4.903089986991944,6.556302500767288,5.221170823471719,-0.6989700043360187,-0.14255704182268913,1.75,1.0,1.0,1.25,9,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,1.5,1.6493087557603687,2025-09
animal print,7.178879540474629,2025-11,2.0,4.431363764158987,4.204119982655925,4.903089986991944,4.512857911268952,0.2272437815030619,0.054052639420510085,2.0,1.75,1.0,1.5833333333333333,11,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,1.7380952380952381,1.5616359447004609,2025-11
