mes,termino,impact_score
2003-07,red,2.0
2003-08,red,2.0
2003-12,casual,4.0
2003-12,jeans,4.0
2003-12,red,8.0
2003-12,vintage,4.0
2004-02,camel,4.0
2004-02,corset,4.0
2004-03,camel,4.0
2004-05,casual,4.0
2004-05,shirt,2.0
2004-05,t-shirt,2.0
2005-02,casual,4.0
2005-05,red,8.0
2005-12,lace,2.0
2007-03,jeans,4.0
2007-03,shirt,4.0
2007-03,t-shirt,4.0
2007-03,vintage,6.0
2008-08,red,6.0
2008-11,denim,4.0
2008-11,jacket,2.0
2008-11,mesh,2.0
2008-11,red,6.0
2008-11,skirt,2.0
2008-11,yellow,2.0
2009-02,black,2.0
2009-02,dress,2.0
2009-02,lace,2.0
2009-02,pants,2.0
2009-02,red,16.0
2009-02,sunglasses,2.0
2010-01,denim,2.0
2010-01,dress,6.0
2010-01,leopard print,2.0
2010-01,mesh,2.0
2010-01,red,6.0
2010-01,shirt,2.0
2010-01,white,2.0
2010-02,black,2.0
2010-02,casual,2.0
2010-02,lace,2.0
2010-02,red,6.0
2010-02,white,2.0
2010-09,cargo pants,0.3
2010-09,gray,0.3
2010-09,hoodie,0.3
2010-09,pants,0.3
2010-09,streetwear,0.6
2010-12,black,6.0
2010-12,casual,2.0
2010-12,dress,8.0
2010-12,gray,4.0
2010-12,lace,4.0
2010-12,pants,2.0
2010-12,red,44.0
2010-12,sneakers,2.0
2010-12,sunglasses,2.0
2010-12,vintage,2.0
2010-12,white,4.0
2011-01,black,2.0
2011-01,lace,2.0
2011-01,red,8.0
2011-01,white,2.0
2011-04,black,22.0
2011-04,blue,6.0
2011-04,boots,4.0
2011-04,casual,6.0
2011-04,chiffon,4.0
2011-04,coat,6.0
2011-04,dress,10.0
2011-04,floral,8.0
2011-04,green,2.0
2011-04,jacket,8.0
2011-04,lace,6.0
2011-04,leather,12.0
2011-04,leopard print,2.0
2011-04,olive,6.0
2011-04,red,98.0
2011-04,satin,2.0
2011-04,shirt,30.0
2011-04,silk,6.0
2011-04,silver,2.0
2011-04,skirt,6.0
2011-04,t-shirt,24.0
2011-04,vintage,2.0
2011-04,white,8.0
2011-04,wool,4.0
2011-11,black,6.0
2011-11,brown,2.0
2011-11,casual,4.0
2011-11,gray,2.0
2011-11,lace,4.0
2011-11,leather,4.0
2011-11,red,16.0
2011-11,silver,2.0
2011-11,vintage,4.0
2011-12,red,6.0
2012-01,dress,2.0
2012-01,pants,2.0
2012-01,red,8.0
2012-04,black,4.0
2012-04,blue,2.0
2012-04,casual,2.0
2012-04,dress,2.0
2012-04,red,10.0
2012-04,white,2.0
2012-05,red,12.0
2012-12,denim,2.0
2012-12,dress,2.0
2012-12,vintage,2.0
2013-04,leather,4.0
2013-04,minimalist,4.0
2013-04,red,4.0
2013-09,black,8.0
2013-09,blue,4.0
2013-09,casual,4.0
2013-09,dress,4.0
2013-09,red,20.0
2013-09,white,4.0
2013-11,red,2.0
2013-12,black,10.0
2013-12,dress,2.0
2013-12,heels,2.0
2013-12,red,10.0
2013-12,white,2.0
2014-01,black,6.0
2014-01,coat,4.0
2014-01,dress,16.0
2014-01,green,2.0
2014-01,lace,6.0
2014-01,pants,2.0
2014-01,pink,2.0
2014-01,red,30.0
2014-01,shirt,6.0
2014-01,velvet,2.0
2014-01,white,8.0
2014-07,blazer,2.0
2014-07,green,2.0
2014-07,jacket,2.0
2014-07,pink,2.0
2014-07,red,6.0
2014-07,shirt,4.0
2014-07,striped,2.0
2014-07,sunglasses,2.0
2014-07,vintage,2.0
2014-09,black,2.0
2014-10,blue,2.0
2014-10,denim,2.0
2014-10,dress,2.0
2014-10,green,2.0
2014-10,leather,2.0
2014-10,mohair,2.0
2014-10,navy,2.0
2014-10,red,4.0
2014-10,sandals,2.0
2014-10,silk,4.0
2014-10,white,2.0
2014-10,wool,6.0
2015-01,cardigan,2.0
2015-01,coat,2.0
2015-01,dress,4.0
2015-01,leopard print,2.0
2015-01,pants,4.0
2015-01,red,2.0
2015-02,blue,2.0
2015-02,brown,2.0
2015-02,dress,2.0
2015-02,jeans,2.0
2015-02,red,6.0
2015-03,denim,4.0
2015-03,lace,2.0
2015-03,pants,10.0
2015-03,red,4.0
2015-03,silver,8.0
2015-03,striped,2.0
2015-03,turquoise,2.0
2015-03,white,2.0
2015-03,yellow,2.0
2015-04,black,2.0
2015-04,blue,2.0
2015-04,coat,2.0
2015-04,dress,4.0
2015-04,lace,2.0
2015-04,red,8.0
2015-04,silver,2.0
2015-04,skirt,2.0
2015-04,wool,2.0
2015-07,black,4.0
2015-07,cherry red,2.0
2015-07,green,2.0
2015-07,lace,2.0
2015-07,leather,8.0
2015-07,red,6.0
2015-07,shirt,2.0
2015-07,silver,4.0
2015-07,sweater,2.0
2015-07,vintage,2.0
2015-08,black,10.0
2015-08,dress,2.0
2015-08,gray,2.0
