mes,termino,interes,category
2020-01,dress,76.0,prenda
2020-02,dress,74.0,prenda
2020-03,dress,50.0,prenda
2020-04,dress,44.0,prenda
2020-05,dress,52.0,prenda
2020-06,dress,55.0,prenda
2020-07,dress,62.0,prenda
2020-08,dress,64.0,prenda
2020-09,dress,60.0,prenda
2020-10,dress,63.0,prenda
2020-11,dress,58.0,prenda
2020-12,dress,58.0,prenda
2021-01,dress,57.0,prenda
2021-02,dress,58.0,prenda
2021-03,dress,65.0,prenda
2021-04,dress,68.0,prenda
2021-05,dress,72.0,prenda
2021-06,dress,73.0,prenda
2021-07,dress,75.0,prenda
2021-08,dress,77.0,prenda
2021-09,dress,76.0,prenda
2021-10,dress,85.0,prenda
2021-11,dress,80.0,prenda
2021-12,dress,73.0,prenda
2022-01,dress,71.0,prenda
2022-02,dress,80.0,prenda
2022-03,dress,84.0,prenda
2022-04,dress,91.0,prenda
2022-05,dress,90.0,prenda
2022-06,dress,85.0,prenda
2022-07,dress,85.0,prenda
2022-08,dress,84.0,prenda
2022-09,dress,83.0,prenda
2022-10,dress,86.0,prenda
2022-11,dress,79.0,prenda
2022-12,dress,75.0,prenda
2023-01,dress,74.0,prenda
2023-02,dress,79.0,prenda
2023-03,dress,82.0,prenda
2023-04,dress,83.0,prenda
2023-05,dress,82.0,prenda
2023-06,dress,81.0,prenda
2023-07,dress,78.0,prenda
2023-08,dress,77.0,prenda
2023-09,dress,80.0,prenda
2023-10,dress,80.0,prenda
2023-11,dress,78.0,prenda
2023-12,dress,74.0,prenda
2024-01,dress,74.0,prenda
2024-02,dress,73.0,prenda
2024-03,dress,84.0,prenda
2024-04,dress,82.0,prenda
2024-05,dress,87.0,prenda
2024-06,dress,87.0,prenda
2024-07,dress,86.0,prenda
2024-08,dress,89.0,prenda
2024-09,dress,94.0,prenda
2024-10,dress,94.0,prenda
2024-11,dress,88.0,prenda
2024-12,dress,84.0,prenda
2025-01,dress,85.0,prenda
2025-02,dress,87.0,prenda
2025-03,dress,89.0,prenda
2025-04,dress,88.0,prenda
2025-05,dress,92.0,prenda
2025-06,dress,93.0,prenda
2025-07,dress,91.0,prenda
2025-08,dress,100.0,prenda
2025-09,dress,98.0,prenda
2025-10,dress,100.0,prenda
2025-11,dress,95.0,prenda
2025-12,dress,87.0,prenda
2026-01,dress,88.0,prenda
2020-01,coat,21.0,prenda
2020-02,coat,18.0,prenda
2020-03,coat,13.0,prenda
2020-04,coat,11.0,prenda
2020-05,coat,13.0,prenda
2020-06,coat,13.0,prenda
2020-07,coat,13.0,prenda
2020-08,coat,14.0,prenda
2020-09,coat,18.0,prenda
2020-10,coat,22.0,prenda
2020-11,coat,24.0,prenda
2020-12,coat,26.0,prenda
2021-01,coat,21.0,prenda
2021-02,coat,18.0,prenda
2021-03,coat,15.0,prenda
2021-04,coat,13.0,prenda
2021-05,coat,13.0,prenda
2021-06,coat,12.0,prenda
2021-07,coat,12.0,prenda
2021-08,coat,13.0,prenda
2021-09,coat,16.0,prenda
2021-10,coat,24.0,prenda
2021-11,coat,31.0,prenda
2021-12,coat,27.0,prenda
2022-01,coat,23.0,prenda
2022-02,coat,19.0,prenda
2022-03,coat,16.0,prenda
2022-04,coat,15.0,prenda
2022-05,coat,13.0,prenda
2022-06,coat,12.0,prenda
2022-07,coat,13.0,prenda
2022-08,coat,14.0,prenda
2022-09,coat,19.0,prenda
2022-10,coat,22.0,prenda
2022-11,coat,27.0,prenda
2022-12,coat,28.0,prenda
2023-01,coat,22.0,prenda
2023-02,coat,18.0,prenda
2023-03,coat,16.0,prenda
2023-04,coat,15.0,prenda
2023-05,coat,14.0,prenda
2023-06,coat,12.0,prenda
2023-07,coat,13.0,prenda
2023-08,coat,14.0,prenda
2023-09,coat,20.0,prenda
2023-10,coat,24.0,prenda
2023-11,coat,29.0,prenda
2023-12,coat,26.0,prenda
2024-01,coat,24.0,prenda
2024-02,coat,19.0,prenda
2024-03,coat,16.0,prenda
2024-04,coat,15.0,prenda
2024-05,coat,13.0,prenda
2024-06,coat,14.0,prenda
2024-07,coat,14.0,prenda
2024-08,coat,16.0,prenda
2024-09,coat,21.0,prenda
2024-10,coat,25.0,prenda
2024-11,coat,31.0,prenda
2024-12,coat,33.0,prenda
2025-01,coat,27.0,prenda
2025-02,coat,21.0,prenda
2025-03,coat,18.0,prenda
2025-04,coat,16.0,prenda
2025-05,coat,15.0,prenda
2025-06,coat,15.0,prenda
2025-07,coat,15.0,prenda
2025-08,coat,19.0,prenda
2025-09,coat,24.0,prenda
